Palavra,Link,Instituicao
gato,https://media.spreadthesign.com/video/mp4/14/460393.mp4,Spread the Sign
geleia,https://media.spreadthesign.com/video/mp4/14/155062.mp4,Spread the Sign
gritar,https://media.spreadthesign.com/video/mp4/14/561071.mp4,Spread the Sign
Grecia,https://media.spreadthesign.com/video/mp4/14/477691.mp4,Spread the Sign
gemeos,https://media.spreadthesign.com/video/mp4/14/303708.mp4,Spread the Sign
hoje,https://media.spreadthesign.com/video/mp4/14/386865.mp4,Spread the Sign
Holanda,https://media.spreadthesign.com/video/mp4/14/477692.mp4,Spread the Sign
igreja para surdos,https://media.spreadthesign.com/video/mp4/14/551980.mp4,Spread the Sign
Inglaterra,https://media.spreadthesign.com/video/mp4/14/477450.mp4,Spread the Sign
internet,https://media.spreadthesign.com/video/mp4/14/211714.mp4,Spread the Sign
interprete,https://media.spreadthesign.com/video/mp4/14/552157.mp4,Spread the Sign
inverno,https://media.spreadthesign.com/video/mp4/14/386868.mp4,Spread the Sign
Iraque,https://media.spreadthesign.com/video/mp4/14/477452.mp4,Spread the Sign
irma,https://media.spreadthesign.com/video/mp4/14/225022.mp4,Spread the Sign
irmao,https://media.spreadthesign.com/video/mp4/14/225023.mp4,Spread the Sign
Ira,https://media.spreadthesign.com/video/mp4/14/482898.mp4,Spread the Sign
Islandia,https://media.spreadthesign.com/video/mp4/14/477693.mp4,Spread the Sign
Israel,https://media.spreadthesign.com/video/mp4/14/480945.mp4,Spread the Sign
Italia,https://media.spreadthesign.com/video/mp4/14/477455.mp4,Spread the Sign
Japao,https://media.spreadthesign.com/video/mp4/14/476469.mp4,Spread the Sign
jaqueta,https://media.spreadthesign.com/video/mp4/14/219247.mp4,Spread the Sign
laranja,https://media.spreadthesign.com/video/mp4/14/335977.mp4,Spread the Sign
ler na diagonal,https://media.spreadthesign.com/video/mp4/14/554386.mp4,Spread the Sign
limpo,https://media.spreadthesign.com/video/mp4/14/156042.mp4,Spread the Sign
livro,https://media.spreadthesign.com/video/mp4/14/554507.mp4,Spread the Sign
louco,https://media.spreadthesign.com/video/mp4/14/228638.mp4,Spread the Sign
luz,https://media.spreadthesign.com/video/mp4/14/494408.mp4,Spread the Sign
labio,https://media.spreadthesign.com/video/mp4/14/554335.mp4,Spread the Sign
lampada,https://media.spreadthesign.com/video/mp4/14/559747.mp4,Spread the Sign
lingua de sinais,https://media.spreadthesign.com/video/mp4/14/554409.mp4,Spread the Sign
manha,https://media.spreadthesign.com/video/mp4/14/555101.mp4,Spread the Sign
marrom,https://media.spreadthesign.com/video/mp4/14/335970.mp4,Spread the Sign
microfone,https://media.spreadthesign.com/video/mp4/14/259072.mp4,Spread the Sign
Maquina fotografica,https://media.spreadthesign.com/video/mp4/14/175398.mp4,Spread the Sign
mao,https://media.spreadthesign.com/video/mp4/14/459074.mp4,Spread the Sign
Mexico,https://media.spreadthesign.com/video/mp4/14/477460.mp4,Spread the Sign
Monaco,https://media.spreadthesign.com/video/mp4/14/552251.mp4,Spread the Sign
namorada,https://media.spreadthesign.com/video/mp4/14/208609.mp4,Spread the Sign
namorado,https://media.spreadthesign.com/video/mp4/14/208610.mp4,Spread the Sign
natal,https://media.spreadthesign.com/video/mp4/14/208506.mp4,Spread the Sign
noite,https://media.spreadthesign.com/video/mp4/14/552400.mp4,Spread the Sign
Noruega,https://media.spreadthesign.com/video/mp4/14/477461.mp4,Spread the Sign
