Palavra,Link,Instituicao
ADJETIVO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADJETIVO.mp4,UFSC SignBank
ADMINISTRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMINISTRAR.mp4,UFSC SignBank
ADMIRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADMIRAR.mp4,UFSC SignBank
ADOECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOECER.mp4,UFSC SignBank
ADOLESCENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOLESCENTE.mp4,UFSC SignBank
ADORAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADORAR.mp4,UFSC SignBank
ADOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR.mp4,UFSC SignBank
ADOTAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADOTAR2.mp4,UFSC SignBank
ADQUIRIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADQUIRIR.mp4,UFSC SignBank
ADULTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULTO.mp4,UFSC SignBank
ADULTERIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADULT%C3%89RIO.mp4,UFSC SignBank
ADVOGADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ADVOGADO.mp4,UFSC SignBank
AEROPORTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AEROPORTO.mp4,UFSC SignBank
AFASIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASIA.mp4,UFSC SignBank
AFASTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFASTAR.mp4,UFSC SignBank
AFEGANISTAO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFEGANIST%C3%83O.mp4,UFSC SignBank
AFILHADO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFILHADO.mp4,UFSC SignBank
AFINIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AFINIDADE.mp4,UFSC SignBank
AGENDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGENDAR.mp4,UFSC SignBank
AGILIZAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGILIZAR.mp4,UFSC SignBank
AGITAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGITAR.mp4,UFSC SignBank
AGORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGORA.mp4,UFSC SignBank
AGOSTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO.mp4,UFSC SignBank
AGOSTO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO2.mp4,UFSC SignBank
AGOSTO3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO3.mp4,UFSC SignBank
AGOSTO4,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO4.mp4,UFSC SignBank
AGOSTO5,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGOSTO5.mp4,UFSC SignBank
AGRADECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRADECER.mp4,UFSC SignBank
AGREDIR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGREDIR.mp4,UFSC SignBank
AGRESSAO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGRESS%C3%83O.mp4,UFSC SignBank
AGUARDENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUARDENTE.mp4,UFSC SignBank
AGUENTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AGUENTAR.mp4,UFSC SignBank
AHAM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AHAM.mp4,UFSC SignBank
AIDS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AIDS.mp4,UFSC SignBank
AINDA-NAO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA-N%C3%83O.mp4,UFSC SignBank
AINDA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AINDA.mp4,UFSC SignBank
AJUDAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AJUDAR.mp4,UFSC SignBank
ALAGOAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALAGOAS.mp4,UFSC SignBank
ALASCA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALASCA.mp4,UFSC SignBank
ALBERGUE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALBERGUE.mp4,UFSC SignBank
ALBANIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALB%C3%82NIA.mp4,UFSC SignBank
ALCE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALCE.mp4,UFSC SignBank
ALEATORIO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEAT%C3%93RIO.mp4,UFSC SignBank
ALEGRAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEGRAR.mp4,UFSC SignBank
ALEMANHA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALEMANHA.mp4,UFSC SignBank
ALERTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALERTAR.mp4,UFSC SignBank
ALFABETIZACAO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFABETIZA%C3%87%C3%83O.mp4,UFSC SignBank
ALFACE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE.mp4,UFSC SignBank
ALFACE2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFACE2.mp4,UFSC SignBank
ALFINETE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALFINETE.mp4,UFSC SignBank
ALGODAO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGOD%C3%83O.mp4,UFSC SignBank
ALGUM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUM.mp4,UFSC SignBank
ALGUNS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALGUNS.mp4,UFSC SignBank
ALHO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO.mp4,UFSC SignBank
ALHO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO2.mp4,UFSC SignBank
ALHO3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALHO3.mp4,UFSC SignBank
ALIVIAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR.mp4,UFSC SignBank
ALIVIAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALIVIAR2.mp4,UFSC SignBank
ALMOCAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALMO%C3%87AR.mp4,UFSC SignBank
ALOFONE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALOFONE.mp4,UFSC SignBank
ALONGAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALONGAR.mp4,UFSC SignBank
ALTERNANICA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTERN%C3%82NICA.mp4,UFSC SignBank
ALTO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTO.mp4,UFSC SignBank
ALTO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTO2.mp4,UFSC SignBank
ALTO3,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALTO3.mp4,UFSC SignBank
ALUGAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALUGAR.mp4,UFSC SignBank
ALUNO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALUNO.mp4,UFSC SignBank
ALVORADA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ALVORADA.mp4,UFSC SignBank
ALEM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AL%C3%89M.mp4,UFSC SignBank
AMANHECER,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMANHECER.mp4,UFSC SignBank
AMANHA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMANH%C3%83.mp4,UFSC SignBank
AMANTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMANTE.mp4,UFSC SignBank
AMAPA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMAP%C3%81.mp4,UFSC SignBank
AMARELAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMARELAR.mp4,UFSC SignBank
AMARELAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMARELAR2.mp4,UFSC SignBank
AMARELO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMARELO.mp4,UFSC SignBank
AMASSAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMASSAR.mp4,UFSC SignBank
AMAZONAS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMAZONAS.mp4,UFSC SignBank
AMBIGUIDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMBIGUIDADE.mp4,UFSC SignBank
AMBICAO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMBI%C3%87%C3%83O.mp4,UFSC SignBank
AMENDOIM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMENDOIM.mp4,UFSC SignBank
AMENDOIM2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMENDOIM2.mp4,UFSC SignBank
AMIGO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMIGO.mp4,UFSC SignBank
AMIGO2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMIGO2.mp4,UFSC SignBank
AMOR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMOR.mp4,UFSC SignBank
AMORA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AMORA.mp4,UFSC SignBank
AMERICA-CENTRAL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AM%C3%89RICA-CENTRAL.mp4,UFSC SignBank
AMERICA-DO-NORTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AM%C3%89RICA-DO-NORTE.mp4,UFSC SignBank
AMERICA-DO-SUL,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AM%C3%89RICA-DO-SUL.mp4,UFSC SignBank
