Palavra,Link,Instituicao
caminhar,https://media.spreadthesign.com/video/mp4/14/223414.mp4,Spread the Sign
camisa,https://media.spreadthesign.com/video/mp4/14/575969.mp4,Spread the Sign
caneta,https://media.spreadthesign.com/video/mp4/14/479288.mp4,Spread the Sign
cansado,https://media.spreadthesign.com/video/mp4/14/250434.mp4,Spread the Sign
carro,https://media.spreadthesign.com/video/mp4/14/550401.mp4,Spread the Sign
carta,https://media.spreadthesign.com/video/mp4/14/550406.mp4,Spread the Sign
casa,https://media.spreadthesign.com/video/mp4/14/550420.mp4,Spread the Sign
casa,null,Spread the Sign
cavalo,https://media.spreadthesign.com/video/mp4/14/148364.mp4,Spread the Sign
cego,https://media.spreadthesign.com/video/mp4/14/148371.mp4,Spread the Sign
certo,null,Spread the Sign
chapeu,https://media.spreadthesign.com/video/mp4/14/226126.mp4,Spread the Sign
cheiro bom,null,Spread the Sign
China,https://media.spreadthesign.com/video/mp4/14/476466.mp4,Spread the Sign
chorar,https://media.spreadthesign.com/video/mp4/14/450191.mp4,Spread the Sign
cidade,https://media.spreadthesign.com/video/mp4/14/550512.mp4,Spread the Sign
cidade,https://media.spreadthesign.com/video/mp4/14/550511.mp4,Spread the Sign
cintura,https://media.spreadthesign.com/video/mp4/14/459064.mp4,Spread the Sign
Com medo,https://media.spreadthesign.com/video/mp4/14/579501.mp4,Spread the Sign
comboio,https://media.spreadthesign.com/video/mp4/14/208599.mp4,Spread the Sign
comer,https://media.spreadthesign.com/video/mp4/14/450251.mp4,Spread the Sign
Comida,https://media.spreadthesign.com/video/mp4/14/153921.mp4,Spread the Sign
competicao,https://media.spreadthesign.com/video/mp4/14/153931.mp4,Spread the Sign
computador,https://media.spreadthesign.com/video/mp4/14/663215.mp4,Spread the Sign
comunidade surda,null,Spread the Sign
cor-de-rosa,https://media.spreadthesign.com/video/mp4/14/335965.mp4,Spread the Sign
corpo,https://media.spreadthesign.com/video/mp4/14/462215.mp4,Spread the Sign
crianca,https://media.spreadthesign.com/video/mp4/14/550870.mp4,Spread the Sign
cuidados,https://media.spreadthesign.com/video/mp4/14/174261.mp4,Spread the Sign
cultura surda,null,Spread the Sign
cao,https://media.spreadthesign.com/video/mp4/14/460389.mp4,Spread the Sign
dancar,https://media.spreadthesign.com/video/mp4/14/553391.mp4,Spread the Sign
dedo do pe,https://media.spreadthesign.com/video/mp4/14/553416.mp4,Spread the Sign
Deficiente auditivo,null,Spread the Sign
dente,https://media.spreadthesign.com/video/mp4/14/553923.mp4,Spread the Sign
desodorizar,null,Spread the Sign
Dever de casa,https://media.spreadthesign.com/video/mp4/14/553972.mp4,Spread the Sign
Dia das bruxas,https://media.spreadthesign.com/video/mp4/14/233299.mp4,Spread the Sign
dicionario de linguas de sinais,null,Spread the Sign
Dinamarca,https://media.spreadthesign.com/video/mp4/14/477426.mp4,Spread the Sign
dinossauro,null,Spread the Sign
discoteca,https://media.spreadthesign.com/video/mp4/14/242875.mp4,Spread the Sign
domingo,https://media.spreadthesign.com/video/mp4/14/386862.mp4,Spread the Sign
dor de dente,null,Spread the Sign
dormir,https://media.spreadthesign.com/video/mp4/14/560754.mp4,Spread the Sign
Egito,https://media.spreadthesign.com/video/mp4/14/481178.mp4,Spread the Sign
escola,https://media.spreadthesign.com/video/mp4/14/551374.mp4,Spread the Sign
escuridao,https://media.spreadthesign.com/video/mp4/14/335972.mp4,Spread the Sign
escuro,https://media.spreadthesign.com/video/mp4/14/335971.mp4,Spread the Sign
Eslovaquia,null,Spread the Sign
Eslovenia,null,Spread the Sign
Espanha,https://media.spreadthesign.com/video/mp4/14/477430.mp4,Spread the Sign
estacao,https://media.spreadthesign.com/video/mp4/14/551433.mp4,Spread the Sign
estranho,https://media.spreadthesign.com/video/mp4/14/323882.mp4,Spread the Sign
Estonia,null,Spread the Sign
eu,null,Spread the Sign
famoso,null,Spread the Sign
fantastico,null,Spread the Sign
feliz,https://media.spreadthesign.com/video/mp4/14/572216.mp4,Spread the Sign
Filipinas,null,Spread the Sign
fim-da-tarde,https://media.spreadthesign.com/video/mp4/14/551648.mp4,Spread the Sign
Finlandia,https://media.spreadthesign.com/video/mp4/14/477439.mp4,Spread the Sign
flor,https://media.spreadthesign.com/video/mp4/14/475575.mp4,Spread the Sign
fogo,https://media.spreadthesign.com/video/mp4/14/224218.mp4,Spread the Sign
fogao,https://media.spreadthesign.com/video/mp4/14/572113.mp4,Spread the Sign
formacao de Lingua de sinais para os pais,null,Spread the Sign
forno,https://media.spreadthesign.com/video/mp4/14/154235.mp4,Spread the Sign
forno micro-ondas,null,Spread the Sign
Franca,https://media.spreadthesign.com/video/mp4/14/477443.mp4,Spread the Sign
Furioso,https://media.spreadthesign.com/video/mp4/14/576124.mp4,Spread the Sign
gato,https://media.spreadthesign.com/video/mp4/14/460393.mp4,Spread the Sign
geleia,https://media.spreadthesign.com/video/mp4/14/155062.mp4,Spread the Sign
gritar,https://media.spreadthesign.com/video/mp4/14/561071.mp4,Spread the Sign
Grecia,https://media.spreadthesign.com/video/mp4/14/477691.mp4,Spread the Sign
guitarra,null,Spread the Sign
gemeos,https://media.spreadthesign.com/video/mp4/14/303708.mp4,Spread the Sign
hoje,https://media.spreadthesign.com/video/mp4/14/386865.mp4,Spread the Sign
Holanda,https://media.spreadthesign.com/video/mp4/14/477692.mp4,Spread the Sign
humor surdo,null,Spread the Sign
Hungria,null,Spread the Sign
igreja para surdos,https://media.spreadthesign.com/video/mp4/14/551980.mp4,Spread the Sign
Indonesia,null,Spread the Sign
inferno,null,Spread the Sign
Inglaterra,https://media.spreadthesign.com/video/mp4/14/477450.mp4,Spread the Sign
internet,https://media.spreadthesign.com/video/mp4/14/211714.mp4,Spread the Sign
interprete,https://media.spreadthesign.com/video/mp4/14/552157.mp4,Spread the Sign
inverno,https://media.spreadthesign.com/video/mp4/14/386868.mp4,Spread the Sign
Iraque,https://media.spreadthesign.com/video/mp4/14/477452.mp4,Spread the Sign
Irlanda,null,Spread the Sign
irma,https://media.spreadthesign.com/video/mp4/14/225022.mp4,Spread the Sign
irmao,https://media.spreadthesign.com/video/mp4/14/225023.mp4,Spread the Sign
Ira,https://media.spreadthesign.com/video/mp4/14/482898.mp4,Spread the Sign
Islandia,https://media.spreadthesign.com/video/mp4/14/477693.mp4,Spread the Sign
Israel,https://media.spreadthesign.com/video/mp4/14/480945.mp4,Spread the Sign
Italia,https://media.spreadthesign.com/video/mp4/14/477455.mp4,Spread the Sign
Jamaica,null,Spread the Sign
Japao,https://media.spreadthesign.com/video/mp4/14/476469.mp4,Spread the Sign
jaqueta,https://media.spreadthesign.com/video/mp4/14/219247.mp4,Spread the Sign
Jordania,null,Spread the Sign
laranja,https://media.spreadthesign.com/video/mp4/14/335977.mp4,Spread the Sign
leitura labial,null,Spread the Sign
ler na diagonal,https://media.spreadthesign.com/video/mp4/14/554386.mp4,Spread the Sign
Letonia,null,Spread the Sign
levantar-se,null,Spread the Sign
limpo,https://media.spreadthesign.com/video/mp4/14/156042.mp4,Spread the Sign
Lituania,null,Spread the Sign
livro,https://media.spreadthesign.com/video/mp4/14/554507.mp4,Spread the Sign
loja,null,Spread the Sign
louco,https://media.spreadthesign.com/video/mp4/14/228638.mp4,Spread the Sign
Luxemburgo,null,Spread the Sign
luz,https://media.spreadthesign.com/video/mp4/14/494408.mp4,Spread the Sign
labio,https://media.spreadthesign.com/video/mp4/14/554335.mp4,Spread the Sign
lampada,https://media.spreadthesign.com/video/mp4/14/559747.mp4,Spread the Sign
lingua de sinais,https://media.spreadthesign.com/video/mp4/14/554409.mp4,Spread the Sign
lingua materna,null,Spread the Sign
manha,https://media.spreadthesign.com/video/mp4/14/555101.mp4,Spread the Sign
marrom,https://media.spreadthesign.com/video/mp4/14/335970.mp4,Spread the Sign
mau,null,Spread the Sign
meias,null,Spread the Sign
menina,null,Spread the Sign
microfone,https://media.spreadthesign.com/video/mp4/14/259072.mp4,Spread the Sign
Moldova,null,Spread the Sign
Montenegro,null,Spread the Sign
morada,null,Spread the Sign
multilingue,null,Spread the Sign
Maquina fotografica,https://media.spreadthesign.com/video/mp4/14/175398.mp4,Spread the Sign
mae,null,Spread the Sign
mao,https://media.spreadthesign.com/video/mp4/14/459074.mp4,Spread the Sign
Mexico,https://media.spreadthesign.com/video/mp4/14/477460.mp4,Spread the Sign
Monaco,https://media.spreadthesign.com/video/mp4/14/552251.mp4,Spread the Sign
musicas em lingua de sinais,null,Spread the Sign
namorada,https://media.spreadthesign.com/video/mp4/14/208609.mp4,Spread the Sign
namorado,https://media.spreadthesign.com/video/mp4/14/208610.mp4,Spread the Sign
natal,https://media.spreadthesign.com/video/mp4/14/208506.mp4,Spread the Sign
noite,https://media.spreadthesign.com/video/mp4/14/552400.mp4,Spread the Sign
nome,null,Spread the Sign
Noruega,https://media.spreadthesign.com/video/mp4/14/477461.mp4,Spread the Sign
nao,https://media.spreadthesign.com/video/mp4/14/417935.mp4,Spread the Sign
nos,null,Spread the Sign
o que,https://media.spreadthesign.com/video/mp4/14/552464.mp4,Spread the Sign
odiar,https://media.spreadthesign.com/video/mp4/14/401179.mp4,Spread the Sign
ombro,https://media.spreadthesign.com/video/mp4/14/445183.mp4,Spread the Sign
ontem,https://media.spreadthesign.com/video/mp4/14/386842.mp4,Spread the Sign
Outono,https://media.spreadthesign.com/video/mp4/14/386815.mp4,Spread the Sign
ouvinte,https://media.spreadthesign.com/video/mp4/14/229144.mp4,Spread the Sign
pagar,null,Spread the Sign
Pai,https://media.spreadthesign.com/video/mp4/14/146773.mp4,Spread the Sign
panela,https://media.spreadthesign.com/video/mp4/14/573796.mp4,Spread the Sign
Papel,https://media.spreadthesign.com/video/mp4/14/479287.mp4,Spread the Sign
Paraiso,null,Spread the Sign
Pais,null,Spread the Sign
peixe,https://media.spreadthesign.com/video/mp4/14/460401.mp4,Spread the Sign
perfumar,https://media.spreadthesign.com/video/mp4/14/229162.mp4,Spread the Sign
pergunta,null,Spread the Sign
perna,https://media.spreadthesign.com/video/mp4/14/660448.mp4,Spread the Sign
pescoco,https://media.spreadthesign.com/video/mp4/14/460376.mp4,Spread the Sign
Pessoa surdo-cega,https://media.spreadthesign.com/video/mp4/14/330358.mp4,Spread the Sign
Pessoas,null,Spread the Sign
peca de vestuario,https://media.spreadthesign.com/video/mp4/14/301829.mp4,Spread the Sign
Piano,https://media.spreadthesign.com/video/mp4/14/555610.mp4,Spread the Sign
pobre,null,Spread the Sign
poesia em lingua de sinais,null,Spread the Sign
Polonia,https://media.spreadthesign.com/video/mp4/14/477469.mp4,Spread the Sign
ponto de interrogacao,https://media.spreadthesign.com/video/mp4/14/556455.mp4,Spread the Sign
por que?,https://media.spreadthesign.com/video/mp4/14/556484.mp4,Spread the Sign
Portugal,https://media.spreadthesign.com/video/mp4/14/477470.mp4,Spread the Sign
Presidente,null,Spread the Sign
preto,https://media.spreadthesign.com/video/mp4/14/210350.mp4,Spread the Sign
primavera,https://media.spreadthesign.com/video/mp4/14/386844.mp4,Spread the Sign
primo,https://media.spreadthesign.com/video/mp4/14/210359.mp4,Spread the Sign
